altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,12,27,Chicago,2,True,True,Chicago,2020-05-01 11:03:21,41.87651122881695,Chicago,-87.62054800987242,60602,Chicago,Chicago,Buckingham Fountain,IN_SERVICE,1,IN_SERVICE,False,39
0.0,12,43,Chicago,3,True,True,Chicago,2020-04-30 20:09:48,41.86722595682,Chicago,-87.6153553902,60602,Chicago,Chicago,Shedd Aquarium,IN_SERVICE,1,IN_SERVICE,False,55
0.0,15,8,Chicago,4,True,True,Chicago,2020-05-01 04:36:18,41.856268,Chicago,-87.613348,60602,Chicago,Chicago,Burnham Harbor,IN_SERVICE,1,IN_SERVICE,False,23
0.0,19,4,Chicago,5,True,True,Chicago,2020-05-01 09:57:15,41.874053,Chicago,-87.627716,60602,Chicago,Chicago,State St & Harrison St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,19,20,Chicago,6,True,True,Chicago,2020-05-01 04:26:17,41.886976,Chicago,-87.612813,60602,Chicago,Chicago,Dusable Harbor,IN_SERVICE,1,IN_SERVICE,False,39
0.0,13,6,Chicago,7,True,True,Chicago,2020-05-01 10:35:57,41.88634906269,Chicago,-87.6175165471,60602,Chicago,Chicago,Field Blvd & South Water St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,2,13,Chicago,9,True,True,Chicago,2020-05-01 10:19:33,41.82879201994,Chicago,-87.6806044594,60602,Chicago,Chicago,Leavitt St & Archer Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,4,7,Chicago,11,True,True,Chicago,2020-05-01 10:15:15,41.76663823695,Chicago,-87.5764501141,60602,Chicago,Chicago,Jeffery Blvd & 71st St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,10,5,Chicago,12,True,True,Chicago,2020-05-01 11:11:01,41.7664094567,Chicago,-87.5656875719,60602,Chicago,Chicago,South Shore Dr & 71st St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,6,29,Chicago,13,True,True,Chicago,2020-05-01 09:05:21,41.932418,Chicago,-87.652705,60602,Chicago,Chicago,Wilton Ave & Diversey Pkwy,IN_SERVICE,1,IN_SERVICE,False,35
0.0,8,7,Chicago,14,True,True,Chicago,2020-05-01 11:31:02,41.858086,Chicago,-87.651073,60602,Chicago,Chicago,Morgan St & 18th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,5,10,Chicago,15,True,True,Chicago,2020-05-01 07:55:25,41.858166,Chicago,-87.656495,60602,Chicago,Chicago,Racine Ave & 18th St,IN_SERVICE,1,IN_SERVICE,False,15
